X (m),Y (m),Z (m),Ux (m/s),Uy (m/s),Uz (m/s),Gamma (dimensionless),Phi_v (W/m^3),KE_Flux_Density (W/m^2)
-1.0842e-19,-0.0177445,0.00503961,5.295488e-08,0.0,0.0,1000000.0,1.9581025,7.424855e-20
-0.00915688,-0.0151997,0.00502861,5.295488e-08,0.0,0.0,1000000.0,3.8405118,7.424855e-20
-0.00602565,-0.0151137,0.00501986,-0.023083724,0.010343871,-0.0017143465,0.023632167,0.003851326,0.008148482
-0.00300916,-0.0150733,0.00505347,-0.024927305,0.0064161266,-0.000610456,0.016387617,0.0027970325,0.008533983
-2.10762e-12,-0.0149961,0.00507626,-0.026339602,0.0016876797,-2.369476e-05,0.0109077655,0.0020055475,0.00919321
0.00300916,-0.0150733,0.00505347,-0.027791219,-0.0039613014,0.00034985202,0.0098228,0.0021735118,0.0110636065
0.00602565,-0.0151137,0.00501986,-0.029221974,-0.010692455,0.00020759132,0.013922321,0.004194918,0.015065442
0.00915688,-0.0151997,0.00502861,5.295488e-08,0.0,0.0,1000000.0,6.619037,7.424855e-20
-0.0120708,-0.012071,0.00498556,-0.02058648,0.021177309,-0.0076909717,1.2596108,0.35806635,0.014213374
-0.00902611,-0.0120426,0.00506417,-0.020936325,0.016235868,-0.004033022,0.03842547,0.00739581,0.009623578
-0.00600385,-0.0120092,0.00509645,-0.021487774,0.012148993,-0.0013856065,0.008656541,0.0013081711,0.0075559686
-0.00300072,-0.012004,0.00510552,-0.021473449,0.007884426,0.00035990818,0.0038064169,0.00045579582,0.005987203
3.35419e-13,-0.0120008,0.00510866,-0.021382589,0.0029808863,0.0013733624,0.008865506,0.0008975405,0.0050619813
0.00300072,-0.012004,0.00510552,-0.022101833,-0.0025821733,0.0017459291,0.019077199,0.0021214327,0.0055601266
0.00600385,-0.0120092,0.00509645,-0.023937313,-0.00915205,0.0014201343,0.012771956,0.0021595326,0.008454197
0.00902619,-0.0120427,0.00506404,-0.026340771,-0.018071746,0.0005720547,0.011278821,0.0036782718,0.0163061
0.0120707,-0.0120711,0.00498565,-0.02592,-0.028021798,-0.0005605165,0.9528026,0.5301062,0.027818259
-0.0151884,-0.00918181,0.0050027,5.295488e-08,0.0,0.0,1000000.0,289.12067,7.424855e-20
-0.0120423,-0.00902824,0.00506263,-0.025575008,0.021765493,-0.013127202,0.16980046,0.0796021,0.023439897
-0.00900324,-0.00900333,0.00510383,-0.02081777,0.016199112,-0.004996707,0.07308275,0.014141611,0.009675067
-0.00600039,-0.00900066,0.00511174,-0.017800314,0.011408986,-0.001178098,0.055099536,0.005231813,0.004747602
-0.00300006,-0.00900023,0.00511377,-0.014641699,0.006533254,0.0009789318,0.13905387,0.005763228,0.0020723008
-1.38852e-12,-0.00900007,0.00511424,-0.011246166,0.0020731108,0.0023962997,0.54252344,0.008653569,0.00079752953
0.00300006,-0.00900023,0.00511377,-0.009794026,-0.0011930899,0.0018716808,1.6466715,0.01667701,0.00050638546
0.00600039,-0.00900066,0.00511174,-0.012213524,-0.005695792,0.0024644434,0.68803024,0.017691081,0.0012856325
0.00900324,-0.00900333,0.00510378,-0.01730676,-0.014536301,0.0020971566,0.12921509,0.015111581,0.005847452
0.0120422,-0.00902811,0.00506282,-0.021909282,-0.030382754,0.0005358902,0.037940383,0.019947166,0.026287513
0.0151884,-0.00918181,0.0050027,5.295488e-08,0.0,0.0,1000000.0,2.7468567,7.424855e-20
-0.0151099,-0.0060412,0.00501243,-0.030047834,0.07028196,0.0004890603,1.5841945,7.074978,0.22329889
-0.0120089,-0.006005,0.00509601,-0.023708278,0.016861636,-0.016053816,0.19524217,0.07163072,0.018344069
-0.00900064,-0.00600045,0.00511173,-0.01853315,0.013121292,-0.006332545,0.1667214,0.021842742,0.0065506715
-0.00600006,-0.00600006,0.00511451,-0.013685772,0.008418899,-0.0027735387,0.18968093,0.008222985,0.0021675834
-0.00300001,-0.00600001,0.00511532,-0.009578999,0.0040463866,-0.003229922,0.7432162,0.009594849,0.0006454952
-3.06552e-12,-0.006,0.00511557,-0.005956972,0.0011213751,-0.006824221,3.4809353,0.02647067,0.00038022356
0.00300001,-0.00600001,0.00511532,-0.002416517,-0.0014617266,-0.005051527,7.140309,0.013841079,9.692213e-05
0.00600006,-0.00600006,0.00511451,0.00021253878,-0.0026522332,-0.00508939,9.600681,0.018184684,9.470518e-05
0.00900064,-0.00600045,0.00511173,-0.00242271,-0.0059873415,0.0022350198,15.397781,0.049160473,0.00015963492
0.0120089,-0.006005,0.00509601,-0.013032438,-0.025415622,0.0011943133,0.21902159,0.051168073,0.011681057
0.0151099,-0.0060412,0.00501243,-0.0146786235,-0.0491476,0.00043566333,0.015112388,0.020396166,0.067481615
-0.0150703,-0.00302355,0.00504824,-0.01634128,0.04794862,0.008705634,2.19531,2.981051,0.0678959
-0.0120039,-0.00300165,0.00510535,-0.019173948,0.01692404,-0.015305256,0.43752757,0.11583916,0.013237927
-0.00900023,-0.00300011,0.00511376,-0.015540555,0.010588967,-0.00996504,0.31904158,0.030754177,0.004819776
-0.00600001,-0.00300001,0.00511532,-0.011086831,0.006225885,-0.0061625293,0.56156117,0.015842415,0.001410569
-0.003,-0.003,0.00511595,-0.0065382444,0.0035195395,-0.0088353325,0.6693396,0.010289577,0.00076863647
-6.74101e-13,-0.003,0.00511607,-0.0032459751,0.0014375284,-0.010179429,0.6151296,0.0077074063,0.0006264864
0.003,-0.003,0.00511595,9.7923876e-05,-0.00073533645,-0.013697056,0.36103693,0.0093184,0.0012905052
0.00600001,-0.00300001,0.00511532,0.002541865,-0.0026198844,-0.006492979,3.3943982,0.01402847,0.00020664149
0.00900023,-0.00300011,0.00511376,0.0044362047,-0.0015600371,0.0027273966,4.122072,0.006622209,8.0326216e-05
0.0120039,-0.00300165,0.00510535,-0.0011963038,-0.014567292,0.0022834039,4.209157,0.13627563,0.0016187996
0.0150703,-0.00302355,0.00504824,-0.0064239907,-0.05189625,0.0021185228,0.021654647,0.031040851,0.07167249
-0.0177383,-9.69866e-06,0.00504044,2.6377608e-08,0.0,0.0,1000000.0,20.044704,9.1764824e-21
-0.0150129,9.25352e-06,0.00506593,0.010066352,0.069663204,0.022178806,0.9713178,3.9039204,0.20095998
-0.0120017,2.85976e-07,0.00510775,-0.014893038,0.023911461,-0.009742254,0.9966523,0.2639425,0.013241454
-0.00900013,1.50791e-08,0.00511415,-0.012945721,0.014514442,-0.014343939,0.43948373,0.062025808,0.007056667
-0.00600001,1.16267e-09,0.00511555,-0.008863159,0.009000774,-0.009001349,0.30197984,0.011269499,0.0018659356
-0.003,1.98813e-10,0.00511606,-0.005773211,0.006347873,-0.009228823,0.37783822,0.007560799,0.0010005339
-4.38431e-14,1.50311e-10,0.00511616,-0.0015526818,0.0030279635,-0.01270002,0.32308125,0.0073432922,0.0011364466
0.003,1.98268e-10,0.00511606,0.0013085055,0.0015501995,-0.0044318275,39.84143,0.046132382,5.789499e-05
0.00600001,1.16175e-09,0.00511554,0.0037446648,-0.0004898058,-0.010403704,4.4326596,0.06009879,0.00067790895
0.00900013,1.50846e-08,0.00511415,0.004537075,-0.0011115458,-0.0031072316,9.888613,0.017461991,8.829343e-05
0.0120017,2.85965e-07,0.00510775,0.0038056101,-0.01016839,0.00062062003,8.566721,0.110177636,0.00064305606
0.0150129,9.25356e-06,0.00506593,0.0041438155,-0.053751912,0.0030665032,0.030559972,0.048117064,0.078725636
0.0177383,-9.69866e-06,0.00504044,2.6377608e-08,0.0,0.0,1000000.0,12.985636,9.1764824e-21
-0.015075,0.00301501,0.00504718,0.019597035,0.09149919,0.02163534,0.28148755,2.4937599,0.44296092
-0.0120045,0.00300176,0.00510491,-0.015906315,0.03416542,0.00037185644,1.388267,0.7431912,0.026766866
-0.0090003,0.00300016,0.00511369,-0.011609418,0.019024465,-0.01741534,0.32309768,0.07310905,0.01131377
-0.00600002,0.00300002,0.00511524,-0.006525381,0.010692356,-0.012567745,0.43742785,0.024438402,0.002793421
-0.003,0.003,0.00511589,-0.0034512198,0.0058111325,-0.011210047,0.21825872,0.0048953076,0.0011214461
1.15319e-13,0.003,0.00511603,-0.00045149494,0.0036569037,-0.010739007,0.6686078,0.009785123,0.00073175365
0.003,0.003,0.00511589,0.0017788253,0.0035591098,-0.0028315454,23.605968,0.027493536,5.823429e-05
0.00600002,0.00300002,0.00511524,0.0053053787,0.0030525504,-0.0024233293,6.0043235,0.017130176,0.00014264867
0.0090003,0.00300016,0.00511369,0.006105509,0.00094784616,-0.0037339472,1.2241803,0.004606034,0.00018812728
0.0120045,0.00300176,0.00510491,0.008895202,-0.016297057,0.0016144331,4.005816,0.2592956,0.0032364891
0.015075,0.00301501,0.00504718,0.015993742,-0.06055201,0.005651954,0.022748066,0.05656493,0.124329105
-0.0151326,0.00607792,0.00500447,0.034737516,0.10001469,0.05094148,0.074190274,1.2033331,0.8109777
-0.0120155,0.00601008,0.0050933,0.011349786,0.08118872,0.028596738,0.33662504,2.2031693,0.32724383
-0.00900135,0.00600109,0.00511117,-0.012000138,0.024763068,-0.013252512,0.4763745,0.13572524,0.014245645
-0.00600013,0.00600013,0.00511431,-0.0063968548,0.013801166,-0.015145914,0.43280667,0.042810418,0.0049456744
-0.00300001,0.00600003,0.00511519,-0.0021939215,0.006798631,-0.011458159,0.6807862,0.016760109,0.0012309378
5.42665e-13,0.00600002,0.00511544,0.0019358384,0.005085924,-0.0075208866,2.2161295,0.017729169,0.000400003
